B000944,Sherrod Brown
C000127,Maria Cantwell
C000141,Benjamin L. Cardin
C000174,Thomas R. Carper
C001070,Robert P. Casey, Jr.
F000062,Dianne Feinstein
K000367,Amy Klobuchar
M000639,Robert Menendez
S000033,Bernard Sanders
S000770,Debbie Stabenow
T000464,Jon Tester
W000802,Sheldon Whitehouse
B001261,John Barrasso
W000437,Roger F. Wicker
C001035,Susan M. Collins
C001056,John Cornyn
D000563,Richard J. Durbin
G000359,Lindsey Graham
M000355,Mitch McConnell
M001176,Jeff Merkley
R000122,Jack Reed
R000584,James E. Risch
S001181,Jeanne Shaheen
W000805,Mark R. Warner
G000555,Kirsten E. Gillibrand
C001088,Christopher A. Coons
M001183,Joe Manchin, III
A000055,Robert B. Aderholt
B001230,Tammy Baldwin
B001267,Michael F. Bennet
B001257,Gus M. Bilirakis
B000490,Sanford D. Bishop, Jr.
B001243,Marsha Blackburn
B000574,Earl Blumenauer
B001277,Richard Blumenthal
B001236,John Boozman
B001260,Vern Buchanan
B001275,Larry Bucshon
B001248,Michael C. Burgess
C000059,Ken Calvert
C001047,Shelley Moore Capito
C001072,André Carson
C001051,John R. Carter
C001075,Bill Cassidy
C001066,Kathy Castor
C001080,Judy Chu
C001084,David N. Cicilline
C001067,Yvette D. Clarke
C001061,Emanuel Cleaver
C000537,James E. Clyburn
C001068,Steve Cohen
C001053,Tom Cole
C001078,Gerald E. Connolly
C001059,Jim Costa
C001069,Joe Courtney
C000880,Mike Crapo
C001087,Eric A. "Rick" Crawford
C001063,Henry Cuellar
D000096,Danny K. Davis
D000197,Diana DeGette
D000216,Rosa L. DeLauro
D000616,Scott DesJarlais
D000600,Mario Diaz-Balart
D000399,Lloyd Doggett
D000615,Jeff Duncan
E000215,Anna G. Eshoo
F000459,Charles J. "Chuck" Fleischmann
F000450,Virginia Foxx
G000559,John Garamendi
G000565,Paul A. Gosar
G000377,Kay Granger
G000386,Chuck Grassley
G000546,Sam Graves
G000553,Al Green
G000568,H. Morgan Griffith
G000551,Raúl M. Grijalva
G000558,Brett Guthrie
H001052,Andy Harris
H001046,Martin Heinrich
H001038,Brian Higgins
H001047,James A. Himes
H001042,Mazie K. Hirono
H001061,John Hoeven
H000874,Steny H. Hoyer
H001058,Bill Huizenga
J000032,Sheila Jackson Lee
J000292,Bill Johnson
J000288,Henry C. "Hank" Johnson, Jr.
J000293,Ron Johnson
J000289,Jim Jordan
K000009,Marcy Kaptur
K000375,William R. Keating
K000376,Mike Kelly
L000564,Doug Lamborn
L000575,James Lankford
L000560,Rick Larsen
L000557,John B. Larson
L000566,Robert E. Latta
L000551,Barbara Lee
L000577,Mike Lee
L000397,Zoe Lofgren
L000491,Frank D. Lucas
L000569,Blaine Luetkemeyer
L000570,Ben Ray Luján
L000562,Stephen F. Lynch
M000133,Edward J. Markey
M001163,Doris O. Matsui
M001165,Kevin McCarthy
M001157,Michael T. McCaul
M001177,Tom McClintock
M001143,Betty McCollum
M000312,James P. McGovern
M001156,Patrick T. McHenry
M001159,Cathy McMorris Rodgers
M001137,Gregory W. Meeks
M001160,Gwen Moore
M000934,Jerry Moran
M001153,Lisa Murkowski
M001169,Christopher Murphy
M001111,Patty Murray
N000002,Jerrold Nadler
N000179,Grace F. Napolitano
N000015,Richard E. Neal
N000147,Eleanor Holmes Norton
P000034,Frank Pallone, Jr.
P000096,Bill Pascrell, Jr.
P000603,Rand Paul
P000197,Nancy Pelosi
P000595,Gary C. Peters
P000597,Chellie Pingree
P000599,Bill Posey
Q000023,Mike Quigley
R000395,Harold Rogers
R000575,Mike Rogers
R000595,Marco Rubio
R000576,C. A. Dutch Ruppersberger
S001177,Gregorio Kilili Camacho Sablan
S001168,John P. Sarbanes
